time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-12-30T03:25:53.400Z,38.39,14.771,109.6,2.6,md,7,195.1,,,us,usp000dc69,2014-11-07T01:24:27.357Z,"16 km SW of Pianoconte, Italy",earthquake,,,,,reviewed,rom,rom
2004-12-24T18:17:00.300Z,38.553,15.08,236.1,2.7,md,23,56.6,,,us,usp000dbc8,2014-11-07T01:24:21.332Z,"12 km ENE of Canneto, Italy",earthquake,,,,,reviewed,rom,rom
2004-12-05T03:38:10.200Z,38.194,15.901,9.5,2.9,md,12,100.9,,,us,usp000da26,2014-11-07T01:24:13.851Z,"4 km SSW of Delianuova, Italy",earthquake,,,,,reviewed,rom,rom
2004-12-03T08:54:37.200Z,38.172,15.278,14.5,2.9,md,17,65.3,,,us,usp000d9wp,2014-11-07T01:24:12.779Z,"0 km ENE of San Filippo del Mela, Italy",earthquake,,,,,reviewed,rom,rom
2004-12-03T03:30:27.500Z,38.151,15.312,15.9,2.6,md,10,94.3,,,us,usp000d9w1,2014-11-07T01:24:12.572Z,"1 km SSW of Gualtieri Sicaminò, Italy",earthquake,,,,,reviewed,rom,rom
2004-11-15T13:02:00.200Z,39.354,16.051,5,2.6,ml,6,182.6,,,us,usp000d8hc,2014-11-07T01:24:01.133Z,"1 km SE of Paola, Italy",earthquake,,,,,reviewed,rom,rom
2004-11-06T02:45:14.500Z,37.843,14.221,7,2.5,ml,4,229.8,,,us,usp000d7sg,2014-11-07T01:23:56.521Z,"5 km NNE of Gangi, Italy",earthquake,,,,,reviewed,rom,rom
2004-11-06T02:31:21.600Z,37.766,14.009,31.7,2.5,ml,8,146.8,,,us,usp000d7sf,2014-11-07T01:23:56.519Z,"3 km SW of Castellana Sicula, Italy",earthquake,,,,,reviewed,rom,rom
2004-11-05T20:22:30.360Z,38.485,15.636,177.5,4.2,mb,97,69.2,,1.02,us,usp000d7ru,2014-11-07T01:23:56.440Z,"22 km NNE of Sparta', Italy",earthquake,,3.3,,20,reviewed,us,us
2004-11-03T18:57:15.300Z,37.821,14.826,10,2.6,ml,9,107.7,,,us,usp000d7mu,2014-11-07T01:23:55.475Z,"3 km WSW of Maletto, Italy",earthquake,,,,,reviewed,rom,rom
2004-10-26T12:56:42.800Z,39.136,15.117,264.6,3,md,43,59.3,,,us,usp000d746,2014-11-07T01:23:49.332Z,"66 km NNE of Malfa, Italy",earthquake,,,,,reviewed,rom,rom
2004-10-24T16:18:51.800Z,38.557,14.638,21.3,2.7,md,6,191.3,,,us,usp000d6zv,2014-11-07T01:23:48.714Z,"16 km W of Leni, Italy",earthquake,,,,,reviewed,rom,rom
2004-10-23T06:25:18.300Z,38.215,15.846,15.6,2.6,md,6,104.7,,,us,usp000d6ve,2014-11-07T01:23:47.804Z,"5 km S of Sant'Eufemia d'Aspromonte, Italy",earthquake,,,,,reviewed,rom,rom
2004-10-22T21:10:13.900Z,38.081,15.304,10.4,3.5,md,23,80,,,us,usp000d6uz,2014-11-07T01:23:47.754Z,"7 km SSE of Santa Lucia del Mela, Italy",earthquake,,,,,reviewed,rom,rom
2004-10-11T07:31:41.200Z,37.861,15.476,4.4,3.5,ml,35,92.3,,,us,usp000d66g,2014-11-07T01:23:44.431Z,"13 km ESE of Sant'Alessio Siculo, Italy",earthquake,,,,,reviewed,rom,rom
2004-10-09T11:45:30.100Z,38.279,14.737,5,2.5,md,5,136.9,,,us,usp000d62f,2014-11-07T01:23:43.846Z,"15 km N of Capo d'Orlando, Italy",earthquake,,,,,reviewed,rom,rom
2004-10-07T08:55:31.000Z,38.562,14.507,10.8,3.2,md,16,108.6,,,us,usp000d5y3,2014-11-07T01:23:43.039Z,"27 km W of Leni, Italy",earthquake,,,,,reviewed,rom,rom
2004-10-07T08:48:47.900Z,38.539,14.524,10,2.7,md,4,228.5,,,us,usp000d5y2,2014-11-07T01:23:43.037Z,"26 km W of Leni, Italy",earthquake,,,,,reviewed,rom,rom
2004-10-07T05:28:28.400Z,38.561,14.491,14.3,2.6,md,6,170.8,,,us,usp000d5xr,2014-11-07T01:23:42.972Z,"29 km W of Leni, Italy",earthquake,,,,,reviewed,rom,rom
2004-10-07T04:41:46.700Z,38.528,14.565,11.1,3.4,md,26,95.7,,,us,usp000d5xn,2014-11-07T01:23:42.966Z,"22 km W of Leni, Italy",earthquake,,,,,reviewed,rom,rom
2004-10-04T06:29:02.470Z,38.954,15.232,285,3.8,mb,65,45.8,,1.02,us,usp000d5qw,2014-11-07T01:23:41.753Z,"Sicily, Italy",earthquake,,2.9,,14,reviewed,us,us
2004-10-03T21:05:23.100Z,38.384,14.85,6.7,3.3,md,23,92.7,,,us,usp000d5q9,2014-11-07T01:23:41.549Z,"12 km SW of Pianoconte, Italy",earthquake,,,,,reviewed,rom,rom
2004-09-30T19:26:35.800Z,39.327,15.627,18.5,2.5,md,6,290.1,,,us,usp000d5ea,2014-11-07T01:23:35.572Z,"33 km SW of Cittadella del Capo, Italy",earthquake,,,,,reviewed,rom,rom
2004-09-28T14:29:33.200Z,39.403,16.244,5,3.1,md,11,144.5,,,us,usp000d57y,2014-11-07T01:23:34.329Z,"0 km S of Stazione Montalto-Coretto, Italy",earthquake,,,,,reviewed,rom,rom
2004-09-25T11:40:02.000Z,38.538,14.686,7.5,2.6,md,6,249.3,,,us,usp000d514,2014-11-07T01:23:33.435Z,"12 km W of Leni, Italy",earthquake,,,,,reviewed,rom,rom
2004-09-25T08:33:51.100Z,37.721,15.921,43.7,2.7,md,8,213,,,us,usp000d50v,2014-11-07T01:23:33.407Z,"22 km SSW of Palizzi Marina, Italy",earthquake,,,,,reviewed,rom,rom
2004-09-23T13:27:13.000Z,37.515,15.905,10,2.8,md,12,217.7,,,us,usp000d4xc,2014-11-07T01:23:32.948Z,"45 km S of Palizzi Marina, Italy",earthquake,,,,,reviewed,rom,rom
2004-09-22T04:32:55.400Z,37.939,15.653,53.2,2.9,md,21,139.4,,,us,usp000d4u9,2014-11-07T01:23:32.377Z,"3 km SSW of Lazzaro, Italy",earthquake,,,,,reviewed,rom,rom
2004-09-21T02:43:41.400Z,38.748,15.554,22.7,2.8,md,8,107.8,,,us,usp000d4rs,2014-11-07T01:23:31.924Z,"28 km WNW of Santa Domenica, Italy",earthquake,,,,,reviewed,rom,rom
2004-09-18T11:50:22.500Z,37.83,15.657,20.5,2.6,md,10,158.6,,,us,usp000d4j4,2014-11-07T01:23:30.554Z,"13 km SSW of Saline Ioniche, Italy",earthquake,,,,,reviewed,rom,rom
2004-09-12T13:28:46.200Z,37.91,14.607,13.2,2.9,md,13,122.4,,1,us,usp000d44x,2014-11-07T01:23:28.278Z,"10 km NW of San Teodoro, Italy",earthquake,,7.5,,,reviewed,us,rom
2004-08-29T16:51:18.400Z,39.195,16.417,5,3,md,14,111.6,,,us,usp000d34c,2014-11-07T01:23:17.339Z,"3 km N of Parenti, Italy",earthquake,,,,,reviewed,rom,rom
2004-08-29T14:35:41.400Z,39.146,16.225,10,2.5,md,7,145.4,,,us,usp000d345,2014-11-07T01:23:17.325Z,"1 km WNW of Grimaldi, Italy",earthquake,,,,,reviewed,rom,rom
2004-08-29T09:24:55.300Z,38.556,15.462,208.6,4.2,mb,186,25.3,,,us,usp000d33u,2014-11-07T01:23:17.292Z,"29 km NNW of Sparta', Italy",earthquake,,,,57,reviewed,rom,us
2004-08-29T08:33:04.600Z,38.578,15.434,159.2,2.6,md,4,227.6,,,us,usp000d33p,2014-11-07T01:23:17.286Z,"32 km NNW of Sparta', Italy",earthquake,,,,,reviewed,rom,rom
2004-08-25T20:21:30.500Z,38.928,16.261,10,2.7,md,5,130,,,us,usp000d2vj,2014-11-07T01:23:15.897Z,"1 km NE of Santa Eufemia Lamezia, Italy",earthquake,,,,,reviewed,rom,rom
2004-08-25T13:36:33.600Z,37.783,15.435,7.7,2.8,md,18,138.2,,,us,usp000d2uz,2014-11-07T01:23:15.851Z,"15 km ESE of Taormina, Italy",earthquake,,,,,reviewed,rom,rom
2004-08-19T18:52:11.000Z,37.52,14.683,20.1,2.7,md,9,113.4,,,us,usp000d2fr,2014-11-07T01:23:14.211Z,"4 km NE of Castel di Judica, Italy",earthquake,,,,,reviewed,rom,rom
2004-08-18T06:20:17.500Z,39.302,16.101,10,2.7,md,6,151.6,,,us,usp000d2c9,2014-11-07T01:23:13.727Z,"3 km NNE of Falconara Albanese, Italy",earthquake,,,,,reviewed,rom,rom
2004-08-16T03:13:29.800Z,37.812,16.281,30.8,2.5,md,5,229.9,,,us,usp000d28f,2014-11-07T01:23:13.129Z,"23 km SE of Weather Station, Italy",earthquake,,,,,reviewed,rom,rom
2004-08-15T18:21:05.000Z,38.62,16.248,9.1,3.3,md,22,82.5,,,us,usp000d27h,2014-11-07T01:23:13.033Z,"0 km SSW of Pizzoni, Italy",earthquake,,,,,reviewed,rom,rom
2004-08-11T10:04:42.000Z,38.933,15.913,14.5,2.8,md,11,97.4,,,us,usp000d1y0,2014-11-07T01:23:11.013Z,"20 km WSW of Nocera Scalo, Italy",earthquake,,,,,reviewed,rom,rom
2004-08-11T09:55:41.500Z,37.895,14.139,8.9,2.6,md,8,104.8,,,us,usp000d1xz,2014-11-07T01:23:11.011Z,"4 km NNW of Geraci Siculo, Italy",earthquake,,,,,reviewed,rom,rom
